"Datum und Vorlage";"Ergebnisse";"Schweiz";"Zürich";"Bern / Berne";"Luzern";"Uri";"Schwyz";"Obwalden";"Nidwalden";"Glarus";"Zug";"Fribourg / Freiburg";"Solothurn";"Basel-Stadt";"Basel-Landschaft";"Schaffhausen";"Appenzell Ausserrhoden";"Appenzell Innerrhoden";"St. Gallen";"Graubünden / Grigioni / Grischun";"Aargau";"Thurgau";"Ticino";"Vaud";"Valais / Wallis";"Neuchâtel";"Genève";"Jura"
"07.06.1998 Haushaltsziel 2001";"Abgegebene Stimmen";1894433;340946;261325;104470;8403;30354;7720;10789;11656;28187;53715;74607;66551;77729;30762;16249;3352;111395;41982;130778;57755;57281;126923;82884;37167;106067;15386
"28.09.1997 Jugend ohne Drogen";"Abgegebene Stimmen";1886054;341874;248224;98584;7804;25563;6759;10438;7826;29164;61163;84664;61194;82514;31245;21778;3399;109582;38003;141571;55695;63655;134574;64663;39009;98574;18535
"28.09.1997 Finanzierung der Arbeitslosenversicherung";"Abgegebene Stimmen";1876622;337647;248222;98383;7765;25555;6735;10400;7792;28967;61106;84509;60613;82068;31115;21511;3390;108694;37517;140161;55547;63655;134536;64651;38998;98542;18543
"08.06.1997 Aufhebung Pulverregal";"Abgegebene Stimmen";1626896;299435;225092;89699;8631;28766;6886;12378;7159;24136;45662;81280;53854;61963;29012;14785;3115;104476;30261;108579;52462;45345;87292;94653;24981;75177;11817
"08.06.1997 Kriegsmaterial-Initiative";"Abgegebene Stimmen";1636833;303201;225094;90014;8837;28801;6899;12469;7157;24120;45792;81827;54242;62460;29141;14959;3119;105909;30855;109426;52720;45345;87319;94672;25005;75594;11856
"08.06.1997 EU-Beitrittsverhandlungen vors Volk";"Abgegebene Stimmen";1635564;302736;225095;89942;8750;28791;6894;12407;7167;24261;45757;81696;54251;62426;29095;14917;3114;105824;30763;109274;52681;45345;87307;94675;25003;75548;11845
"01.12.1996 Arbeitsgesetz";"Abgegebene Stimmen";2154933;383706;311663;114053;11244;34428;8586;12827;9188;29902;69816;78885;70544;78579;32034;15687;4092;119343;47678;135887;60262;81096;152515;133449;46769;88416;24284
"01.12.1996 Gegen die illegale Einwanderung";"Abgegebene Stimmen";2156106;385220;311669;113996;11172;34442;8586;12813;9189;29896;69708;78875;70682;78598;32039;15700;4090;119371;47514;135911;60207;81096;152484;133450;46762;88418;24218
"09.06.1996 Regierungs- und Verwaltungsorganisationsgesetz";"Abgegebene Stimmen";1442422;259336;193518;86763;6307;21465;6964;8540;6177;20012;51059;59514;61300;50579;26539;15119;2695;92148;26587;90591;39218;29783;111679;24616;24748;108444;18721
"09.06.1996 Landwirtschaftsartikel";"Abgegebene Stimmen";1445966;260970;193519;87086;6305;21530;6977;8549;6182;20294;51062;59483;61599;50695;26513;15219;2693;92468;26753;90808;39284;29783;111681;24623;24750;108355;18785
